Rd-1,150252,27120,6899,31797,17494,4412,44845,15278,13849,21339,86390,60414,41654,47866,304368,348999
Wr-1,598879,123759,70616,45991,28791,29895,44084,31511,23776,17412,15425,14185,12240,12759,11244,186830
Rd-2,80652,25918,23819,23495,14316,7477,23094,13144,26653,16631,35105,32929,46550,35653,250977,567102
Wr-2,478791,188465,111713,60230,37101,24146,35811,29930,25015,18641,15700,13336,11580,11121,10022,198908
Rd-4,24208,19538,20317,30754,27479,23859,34058,28120,29399,25126,39382,41903,43819,45143,203870,586592
Wr-4,345596,81503,80637,106322,85736,41993,32857,26791,25044,23586,21589,19534,16393,14635,13329,338231
Rd-6,22942,13661,15548,21573,22785,31871,37510,40382,35796,33579,43518,43894,44540,52055,169766,595002
Wr-6,275807,50879,47356,62527,67403,92217,69948,61456,41271,30844,25273,22868,20827,19740,17544,371969
Rd-8,23531,12264,14302,22503,23221,34778,38943,45228,41971,43175,51329,49938,51200,54527,130345,588878
Wr-8,233089,36952,36042,50572,55915,77177,63637,61335,56811,44668,40088,31329,25920,23061,20940,425354
Rd-10,65294,13643,17083,27092,27752,38147,41740,47198,44356,46984,52849,50689,50251,53245,92655,556939
Wr-10,226705,32052,30995,40879,42480,56168,49190,49507,46307,39260,37997,30467,26050,23454,21532,532755
Rd-12,35774,18154,22047,31775,31141,40723,43941,49293,46656,48677,53889,50182,48280,50649,77384,580462
Wr-12,212273,26513,26148,33898,36182,45624,41192,42804,39903,35014,32904,27921,24741,22168,20505,624261
