name,xeon-ipc,wallclocktime
aha-mont64,1.426098647163795,0.00021312000000000002
crc32,0.8308810832774377,0.0007194299999999997
edn,1.5806577332103924,0.00045794999999999983
matmult-int,1.6075803635620256,0.00027455000000000003
minver,0.915543434399948,4.299000000000003e-05
nbody,0.738654991463115,4.349999999999998e-06
nettle-aes,1.6010013731441046,0.00023238999999999983
nsichneu,1.5617627186071967,0.0002371500000000001
st,0.7390667958617062,1.6920000000000024e-05
ud,1.088440296175134,0.0004606299999999998
