,0,1,2
0-sglib-combined,1.4494988137378182,1840234,2667417
0-wikisort,2.5143897025221422,367624,924350
0-matmult-int,3.6571795764893054,869919,3181450
0-nettle-sha256,3.838550210477997,1124108,4314945
0-nettle-aes,4.497212576910242,1117699,5026530
0-minver,1.903361517499156,242926,462376
0-slre,2.735842059288087,895222,2449186
0-cubic,1.1395580567114638,900206,1025837
0-aha-mont64,2.1590116721429737,887155,1915378
0-nsichneu,1.167105575542853,1916495,2236752
0-huffbench,1.8249028533094054,1651626,3014057
0-crc32,1.6937757121817123,2364881,4005578
0-picojpeg,2.95660297990636,1312256,3879820
0-qrduino,1.3691456576846897,2154277,2949519
0-nbody,0.3440437612780712,105847,36416
0-st,0.7374688535089211,99931,73696
0-edn,2.9484896857634215,1166446,3439254
0-ud,1.1709542922739877,1979184,2317534
